t_s,df_hz
0.0,-5.9818816566803434e-12
0.01,-5.9818816566803434e-12
0.02,-5.9818816566803434e-12
0.03,-5.9818816566803434e-12
0.04,-5.9818816566803434e-12
0.05,-5.9818816566803434e-12
0.06,-5.9818816566803434e-12
0.07,-5.9818816566803434e-12
0.08,-5.9818816566803434e-12
0.09,-5.9818816566803434e-12
0.1,-5.9818816566803434e-12
0.11,-5.9818816566803434e-12
0.12,-5.9818816566803434e-12
0.13,-5.9818816566803434e-12
0.14,-5.9818816566803434e-12
0.15,-5.9818816566803434e-12
0.16,-5.9818816566803434e-12
0.17,-5.9818816566803434e-12
0.18,-5.9818816566803434e-12
0.19,-5.9818816566803434e-12
0.2,-5.9818816566803434e-12
0.21,-5.9818816566803434e-12
0.22,-5.9818816566803434e-12
0.23,-5.9818816566803434e-12
0.24,-5.9818816566803434e-12
0.25,-5.9818816566803434e-12
0.26,-0.003510470311461913
0.27,-0.007806460207566337
0.28,-0.011773641244515218
0.29,-0.014911715062056775
0.3,-0.018001531994852913
0.31,-0.020737891572921375
0.32,-0.022600775145339504
0.33,-0.023789613769055383
0.34,-0.02466680806689809
0.35,-0.025512262881316524
0.36,-0.026495363783661702
0.37,-0.027595062404281744
0.38,-0.028702028725043904
0.39,-0.029756254359842894
0.4,-0.03076807236082001
0.41,-0.031783402820802956
0.42,-0.0328423611220624
0.43,-0.033952773826018655
0.44,-0.03509553169519807
0.45,-0.03624678293504331
0.46,-0.037393262482917015
0.47,-0.038533868064035484
0.48,-0.03967236291326143
0.49,-0.04080942203034522
0.5,-0.041939869453497765
0.51,-0.04305506314923319
0.52,-0.04414672071028474
0.53,-0.045209056186349336
0.54,-0.04623850651326289
0.55,-0.04723221790867493
0.56,-0.04818684713800356
0.57,-0.04909839582523291
0.58,-0.04996279396528289
0.59,-0.050776550298480674
0.6,-0.05153701243499075
0.61,-0.05224222375711239
0.62,-0.052890640860172394
0.63,-0.053480962095516185
0.64,-0.0540121388245949
0.65,-0.05448348543703726
0.66,-0.054894768158362674
0.67,-0.05524621288654307
0.68,-0.05553844922384498
0.69,-0.05577244258947614
0.7,-0.055949451982229996
0.71,-0.05607101705640455
0.72,-0.05613895547681603
0.73,-0.05615535114862898
0.74,-0.056122527012210925
0.75,-0.05604300850871554
