t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,p_network_abs_pu,q_network_abs_pu,delta_p_load_pu,delta_q_load_pu,asset_type
0.0,6.6187610947565645e-12,5.1645202003847146e-11,6.6187610947565645e-12,5.1645202003847146e-11,0.11123731844999579,-0.12034971299723611,0.0,0.0,SG-slack
0.01,6.620537451595965e-12,5.1645202003847146e-11,6.620537451595965e-12,5.1645202003847146e-11,0.11123731844999757,-0.12034971299723611,0.0,0.0,SG-slack
0.02,6.622785653220831e-12,5.164872696195033e-11,6.622785653220831e-12,5.164872696195033e-11,0.11123731844999982,-0.12034971299723259,0.0,0.0,SG-slack
0.03,6.624090165274765e-12,5.1645202003847146e-11,6.624090165274765e-12,5.1645202003847146e-11,0.11123731845000112,-0.12034971299723611,0.0,0.0,SG-slack
0.04,6.6258665221141655e-12,5.1645202003847146e-11,6.6258665221141655e-12,5.1645202003847146e-11,0.1112373184500029,-0.12034971299723611,0.0,0.0,SG-slack
0.05,6.6281147237390314e-12,5.164872696195033e-11,6.6281147237390314e-12,5.164872696195033e-11,0.11123731845000515,-0.12034971299723259,0.0,0.0,SG-slack
0.06,6.629419235792966e-12,5.1645202003847146e-11,6.629419235792966e-12,5.1645202003847146e-11,0.11123731845000645,-0.12034971299723611,0.0,0.0,SG-slack
0.07,6.631195592632366e-12,5.1645202003847146e-11,6.631195592632366e-12,5.1645202003847146e-11,0.11123731845000823,-0.12034971299723611,0.0,0.0,SG-slack
0.08,6.632083771052066e-12,5.1645202003847146e-11,6.632083771052066e-12,5.1645202003847146e-11,0.11123731845000912,-0.12034971299723611,0.0,0.0,SG-slack
0.09,6.632999705047382e-12,5.164872696195033e-11,6.632999705047382e-12,5.164872696195033e-11,0.11123731845001003,-0.12034971299723259,0.0,0.0,SG-slack
0.1,6.633860127891467e-12,5.1645202003847146e-11,6.633860127891467e-12,5.1645202003847146e-11,0.11123731845001089,-0.12034971299723611,0.0,0.0,SG-slack
0.11,6.6352201510966324e-12,5.164872696195033e-11,6.6352201510966324e-12,5.164872696195033e-11,0.11123731845001225,-0.12034971299723259,0.0,0.0,SG-slack
0.12,6.635192395521017e-12,5.1645202003847146e-11,6.635192395521017e-12,5.1645202003847146e-11,0.11123731845001222,-0.12034971299723611,0.0,0.0,SG-slack
0.13,6.636080573940717e-12,5.1645202003847146e-11,6.636080573940717e-12,5.1645202003847146e-11,0.11123731845001311,-0.12034971299723611,0.0,0.0,SG-slack
0.14,6.637412841570267e-12,5.1645202003847146e-11,6.637412841570267e-12,5.1645202003847146e-11,0.11123731845001444,-0.12034971299723611,0.0,0.0,SG-slack
0.15,6.637856930780117e-12,5.1645202003847146e-11,6.637856930780117e-12,5.1645202003847146e-11,0.11123731845001489,-0.12034971299723611,0.0,0.0,SG-slack
0.16,6.637856930780117e-12,5.1645202003847146e-11,6.637856930780117e-12,5.1645202003847146e-11,0.11123731845001489,-0.12034971299723611,0.0,0.0,SG-slack
