t_s,delta_pm_pu,Pm0_pu_sysbase
0.0,0.0,1.1175729314688707
0.01,0.0,1.1175729314688707
0.02,0.0,1.1175729314688707
0.03,0.0,1.1175729314688707
0.04,0.0,1.1175729314688707
0.05,0.0,1.1175729314688707
0.06,0.0,1.1175729314688707
0.07,0.0,1.1175729314688707
0.08,0.0,1.1175729314688707
0.09,0.0,1.1175729314688707
0.1,0.0,1.1175729314688707
0.11,0.0,1.1175729314688707
0.12,0.0,1.1175729314688707
0.13,0.0,1.1175729314688707
0.14,0.0,1.1175729314688707
0.15,0.0,1.1175729314688707
0.16,0.0,1.1175729314688707
0.17,0.0,1.1175729314688707
0.18,0.0,1.1175729314688707
0.19,0.0,1.1175729314688707
0.2,0.0,1.1175729314688707
0.21,0.0,1.1175729314688707
0.22,0.0,1.1175729314688707
0.23,0.0,1.1175729314688707
0.24,0.0,1.1175729314688707
0.25,0.0,1.1175729314688707
0.26,1.1705184473817482e-5,1.1175729314688707
0.27,4.381038184546924e-5,1.1175729314688707
0.28,9.434743857684706e-5,1.1175729314688707
0.29,0.00016172649970771068,1.1175729314688707
0.3,0.00024910706867717813,1.1175729314688707
0.31,0.0003598683613891912,1.1175729314688707
0.32,0.0004927670097481694,1.1175729314688707
0.33,0.0006445254857178834,1.1175729314688707
0.34,0.0008125094562063031,1.1175729314688707
0.35,0.0009955720039092114,1.1175729314688707
0.36,0.0011940896562271503,1.1175729314688707
0.37,0.0014090082289000873,1.1175729314688707
0.38,0.0016408434344007284,1.1175729314688707
0.39,0.001889502132519269,1.1175729314688707
0.4,0.002154630807065114,1.1175729314688707
0.41,0.0024360027237961992,1.1175729314688707
0.42,0.0027336906405146283,1.1175729314688707
0.43,0.003047973754057197,1.1175729314688707
0.44,0.0033791333444317248,1.1175729314688707
0.45,0.003727321228901137,1.1175729314688707
0.46,0.004092554426178513,1.1175729314688707
0.47,0.004474782104152786,1.1175729314688707
0.48,0.0048739469570378705,1.1175729314688707
0.49,0.005289997450067721,1.1175729314688707
0.5,0.005722858645172429,1.1175729314688707
0.51,0.006172395780275622,1.1175729314688707
0.52,0.006638396466124047,1.1175729314688707
0.53,0.0071205748131465225,1.1175729314688707
0.54,0.007618585215480692,1.1175729314688707
0.55,0.008132032352183,1.1175729314688707
0.56,0.008660472403018597,1.1175729314688707
0.57,0.00920340896286576,1.1175729314688707
0.58,0.009760289785424729,1.1175729314688707
0.59,0.010330507853077639,1.1175729314688707
0.6,0.010913406279428198,1.1175729314688707
0.61,0.011508284438666142,1.1175729314688707
0.62,0.0121144031943585,1.1175729314688707
0.63,0.012730988786464219,1.1175729314688707
0.64,0.01335723621558695,1.1175729314688707
0.65,0.013992313107403868,1.1175729314688707
0.66,0.014635364429783864,1.1175729314688707
0.67,0.015285517765416468,1.1175729314688707
0.68,0.015941888614783774,1.1175729314688707
0.69,0.016603585386480706,1.1175729314688707
0.7,0.017269714043204116,1.1175729314688707
0.71,0.017939382549318556,1.1175729314688707
0.72,0.018611705244790982,1.1175729314688707
0.73,0.01928580714734149,1.1175729314688707
0.74,0.019960828086129208,1.1175729314688707
0.75,0.020635926557051255,1.1175729314688707
0.76,0.021310283239160135,1.1175729314688707
0.77,0.021983104167673507,1.1175729314688707
0.78,0.02265362358487957,1.1175729314688707
0.79,0.02332110647939966,1.1175729314688707
0.8,0.023984850806805784,1.1175729314688707
0.81,0.024644189376073752,1.1175729314688707
0.82,0.025298491383329257,1.1175729314688707
0.83,0.025947163598621738,1.1175729314688707
0.84,0.026589651210631036,1.1175729314688707
0.85,0.02722543834954183,1.1175729314688707
0.86,0.02785404830216993,1.1175729314688707
0.87,0.028475043430042826,1.1175729314688707
0.88,0.029088024810527576,1.1175729314688707
0.89,0.029692631610529874,1.1175729314688707
0.9,0.03028854022079115,1.1175729314688707
0.91,0.03087546316548484,1.1175729314688707
0.92,0.031453147818925394,1.1175729314688707
0.93,0.032021374945656746,1.1175729314688707
0.94,0.03257995709448151,1.1175729314688707
0.95,0.03312873686410554,1.1175729314688707
0.96,0.03366758506889585,1.1175729314688707
