t_s,delta_rad
0.0,0.0
0.01,-1.387778780781445e-16
0.02,-2.7755575615628894e-16
0.03,-4.1633363423443336e-16
0.04,-5.55111512312578e-16
0.05,-6.938893903907223e-16
0.06,-8.326672684688667e-16
0.07,-9.540979117872435e-16
0.08,-1.0234868508263158e-15
0.09,-1.092875789865388e-15
0.1,-1.1622647289044602e-15
0.11,-1.2316536679435324e-15
0.12,-1.3010426069826045e-15
0.13,-1.370431546021677e-15
0.14,-1.4398204850607493e-15
0.15,-1.4953316362920077e-15
0.16,-1.4953316362920077e-15
0.17,-1.4953316362920077e-15
0.18,-1.4953316362920077e-15
0.19,-1.4953316362920077e-15
0.2,-1.4953316362920077e-15
0.21,-1.4953316362920077e-15
0.22,-1.4953316362920077e-15
0.23,-1.4953316362920077e-15
0.24,-1.4953316362920077e-15
0.25,-1.4641066137244252e-15
0.26,-4.630059066328936e-5
0.27,-0.0002738378418305025
0.28,-0.0006901604111395317
0.29,-0.0012585391614589705
0.3,-0.001948992672623155
0.31,-0.0027483961393410575
0.32,-0.0036236621416557433
0.33,-0.004538208245336455
0.34,-0.005471227548947139
0.35,-0.006415504204991403
0.36,-0.0073728817837889335
0.37,-0.008347993109146253
0.38,-0.009342251683925171
0.39,-0.01035357106041683
0.4,-0.011379179636083358
0.41,-0.012417665466580184
0.42,-0.013469404629976025
0.43,-0.014535657015121774
0.44,-0.015617318496096875
0.45,-0.01671434893045493
0.46,-0.017825985959811667
0.47,-0.018951249692366164
0.48,-0.020089282466611465
0.49,-0.021239360372759915
0.5,-0.02240069700148228
0.51,-0.02357226179042763
0.52,-0.02475273767103803
0.53,-0.025940597446949154
0.54,-0.027134207877766946
0.55,-0.0283318888509357
0.56,-0.029531914856006158
0.57,-0.030732490942500322
0.58,-0.031931740097505885
0.59,-0.033127716425091304
0.6,-0.034318435190422145
0.61,-0.03550190275976327
0.62,-0.03667613609442229
0.63,-0.03783917240083435
0.64,-0.03898907562395343
0.65,-0.040123945506799354
0.66,-0.04124193040492399
0.67,-0.04234124148001207
0.68,-0.043420165327037845
0.69,-0.04447707372381461
0.7,-0.045510431033579886
0.71,-0.0465188005290196
0.72,-0.04750085044661392
0.73,-0.048455359779183076
0.74,-0.049381223295249355
0.75,-0.05027745533338651
0.76,-0.05114319226352073
0.77,-0.05197769380140474
0.78,-0.05278034343468767
0.79,-0.05355064809741516
0.8,-0.05428823710285545
0.81,-0.0549928602918486
0.82,-0.05566438536198593
0.83,-0.05630279444952689
0.84,-0.05690818004093402
0.85,-0.05748074032683617
0.86,-0.05802077406980376
0.87,-0.058528675033434355
0.88,-0.05900492603669501
0.89,-0.05945009267421494
0.9,-0.05986481678882161
0.91,-0.06024980975250876
0.92,-0.060605845641867974
0.93,-0.060933754356569406
0.94,-0.061234414750132915
0.95,-0.061508747816757435
0.96,-0.061757709993692456
0.97,-0.06198228662576684
0.98,-0.06218348563801397
0.99,-0.06236233146094529
1.0,-0.06251985924168049
1.01,-0.06265710937331935
1.02,-0.0627751223682586
1.03,-0.06287493409716893
1.04,-0.06295757141082728
1.05,-0.06302404815682335
1.06,-0.06307536159964972
1.07,-0.06311248924653426
1.08,-0.06313638607759825
1.09,-0.06314798217710942
1.1,-0.06314818075377139
1.11,-0.06313785654245542
1.12,-0.06311785456732708
1.13,-0.06308898925386547
1.14,-0.06305204386411391
1.15,-0.06300777023859255
1.16,-0.06295688881572814
1.17,-0.06290008890826394
1.18,-0.06283802920763149
1.19,-0.0627713384907317
1.2,-0.06270061650341086
1.21,-0.06262643499045982
1.22,-0.06254933885007355
1.23,-0.062469847382582155
1.24,-0.06238845561089086
1.25,-0.062305635647262644
1.26,-0.062221838084161235
1.27,-0.06213749338623954
1.28,-0.06205301326569549
1.29,-0.061968792019992204
1.3,-0.06188520781676672
1.31,-0.06180262391111668
1.32,-0.0617213897809743
1.33,-0.06164184217103946
1.34,-0.06156430603423528
1.35,-0.061489095365110304
1.36,-0.06141651391802591
1.37,-0.061346855807093245
1.38,-0.06128040598629454
1.39,-0.06121744060809536
1.4,-0.06115822726337386
1.41,-0.0611030251037341
1.42,-0.06105208485183759
1.43,-0.06100564870350492
1.44,-0.060963950129613566
1.45,-0.06092721358365329
1.46,-0.06089565412494767
1.47,-0.060869476964929
1.48,-0.060848876947994214
1.49,-0.060834037975295956
1.5,-0.060825132384026356
1.51,-0.06082232029095921
1.52,-0.060825748913373716
1.53,-0.060835551876065104
1.54,-0.06085184851742731
1.55,-0.06087474320355819
1.56,-0.060904324661223655
1.57,-0.06094066534046333
1.58,-0.060983820814098
1.59,-0.061033829225666136
1.6,-0.06109071079109578
1.61,-0.06115446736401014
1.62,-0.06122508206988019
1.63,-0.06130251901483891
1.64,-0.06138672307595741
1.65,-0.06147761977444888
1.66,-0.0615751152379354
1.67,-0.061679096252226666
1.68,-0.061789430404859264
1.69,-0.06190596632213059
1.7,-0.06202853399775368
1.71,-0.06215694521326545
1.72,-0.0622909940492015
1.73,-0.0624304574825853
1.74,-0.06257509606983556
1.75,-0.06272465470986463
1.76,-0.0628788634831181
1.77,-0.06303743856257588
1.78,-0.06320008319024652
1.79,-0.06336648871356211
1.8,-0.06353633567596659
1.81,-0.06370929495436857
1.82,-0.06388502893746353
1.83,-0.06406319273727407
1.84,-0.06424343542743287
1.85,-0.06442540130056294
1.86,-0.06460873113803361
1.87,-0.06479306348467616
1.88,-0.06497803592171146
1.89,-0.06516328633092677
1.9,-0.06534845414357199
1.91,-0.06553318156749655
1.92,-0.06571711478671297
1.93,-0.06589990512712156
1.94,-0.06608121018378724
1.95,-0.06626069490374248
1.96,-0.0664380326209437
1.97,-0.06661290603779833
1.98,-0.0667850081511445
1.99,-0.06695404311763367
2.0,-0.06711972705766894
2.01,-0.0672817887935383
2.02,-0.06743997052155222
2.03,-0.06759402841618727
2.04,-0.06774373316435539
2.05,-0.06788887043139684
2.06,-0.06802924125608793
2.07,-0.06816466237777008
2.08,-0.06829496649347415
2.09,-0.06842000244904577
2.1,-0.06853963536275544
2.11,-0.06865374668613725
2.12,-0.06876223420119876
2.13,-0.06886501195873738
