t_s,delta_p_pu,p_abs_pu,p_initial_pu,delta_q_pu,q_abs_pu,q_initial_pu,asset_type,device_name
0.0,0.0,1.0000000000002351,1.0000000000002351,0.0,1.5751978055252789,1.5751978055252789,GFL,gen-2
0.01,-4.44089209850065e-16,1.0000000000002347,1.0000000000002351,8.881784197001229e-16,1.5751978055252798,1.5751978055252789,GFL,gen-2
0.02,-8.881784197001252e-16,1.0000000000002343,1.0000000000002351,6.661338147750939e-16,1.5751978055252795,1.5751978055252789,GFL,gen-2
0.03,-1.1102230246251565e-15,1.000000000000234,1.0000000000002351,1.1102230246251565e-15,1.57519780552528,1.5751978055252789,GFL,gen-2
0.04,-1.1102230246251565e-15,1.000000000000234,1.0000000000002351,1.1102230246251443e-15,1.57519780552528,1.5751978055252789,GFL,gen-2
0.05,-1.5543122344752038e-15,1.0000000000002336,1.0000000000002351,1.1102230246251565e-15,1.57519780552528,1.5751978055252789,GFL,gen-2
0.06,-1.7763568394002505e-15,1.0000000000002334,1.0000000000002351,1.7763568394002505e-15,1.5751978055252807,1.5751978055252789,GFL,gen-2
0.07,-1.5543122344752377e-15,1.0000000000002336,1.0000000000002351,1.1102230246251565e-15,1.57519780552528,1.5751978055252789,GFL,gen-2
0.08,-1.9984014443252818e-15,1.0000000000002331,1.0000000000002351,1.7763568394002505e-15,1.5751978055252807,1.5751978055252789,GFL,gen-2
0.09,-1.998401444325251e-15,1.0000000000002331,1.0000000000002351,1.5543122344752192e-15,1.5751978055252804,1.5751978055252789,GFL,gen-2
0.1,-1.9984014443252818e-15,1.0000000000002331,1.0000000000002351,1.3322676295501878e-15,1.5751978055252802,1.5751978055252789,GFL,gen-2
0.11,-1.9984014443252818e-15,1.0000000000002331,1.0000000000002351,1.9984014443252447e-15,1.5751978055252809,1.5751978055252789,GFL,gen-2
0.12,-2.4424906541753444e-15,1.0000000000002327,1.0000000000002351,1.5543122344752623e-15,1.5751978055252804,1.5751978055252789,GFL,gen-2
0.13,-2.2204460492503498e-15,1.000000000000233,1.0000000000002351,1.5543122344752192e-15,1.5751978055252804,1.5751978055252789,GFL,gen-2
