t_s,V_pu,delta_V_pu,V_initial_pu
0.0,1.0300000000048057,0.0,1.0300000000048057
0.01,1.0300000000048057,0.0,1.0300000000048057
0.02,1.0300000000048057,0.0,1.0300000000048057
0.03,1.0300000000048057,0.0,1.0300000000048057
0.04,1.0300000000048057,0.0,1.0300000000048057
0.05,1.0300000000048057,0.0,1.0300000000048057
0.06,1.0300000000048057,0.0,1.0300000000048057
0.07,1.0300000000048057,0.0,1.0300000000048057
0.08,1.0300000000048057,0.0,1.0300000000048057
0.09,1.0300000000048057,0.0,1.0300000000048057
0.1,1.0300000000048057,0.0,1.0300000000048057
0.11,1.0300000000048057,0.0,1.0300000000048057
0.12,1.0300000000048057,0.0,1.0300000000048057
0.13,1.0300000000048057,0.0,1.0300000000048057
0.14,1.0300000000048057,0.0,1.0300000000048057
0.15,1.0300000000048057,0.0,1.0300000000048057
0.16,1.0300000000048057,0.0,1.0300000000048057
0.17,1.0300000000048057,0.0,1.0300000000048057
0.18,1.0300000000048057,0.0,1.0300000000048057
0.19,1.0300000000048057,0.0,1.0300000000048057
0.2,1.0300000000048057,0.0,1.0300000000048057
0.21,1.0300000000048057,0.0,1.0300000000048057
0.22,1.0300000000048057,0.0,1.0300000000048057
0.23,1.0300000000048057,0.0,1.0300000000048057
0.24,1.0300000000048057,0.0,1.0300000000048057
0.25,1.0300000000048057,0.0,1.0300000000048057
0.26,1.0127153727340743,-0.017284627270731434,1.0300000000048057
0.27,1.0172818436575264,-0.012718156347279352,1.0300000000048057
0.28,1.021800376428666,-0.00819962357613968,1.0300000000048057
0.29,1.0226437650381544,-0.007356234966651387,1.0300000000048057
0.3,1.0225850672038523,-0.0074149328009534,1.0300000000048057
0.31,1.0220215063468028,-0.00797849365800296,1.0300000000048057
0.32,1.0214225508722314,-0.0085774491325743,1.0300000000048057
0.33,1.0216402589378457,-0.008359741066960025,1.0300000000048057
0.34,1.0222996727948441,-0.0077003272099616105,1.0300000000048057
0.35,1.022804722096326,-0.007195277908479847,1.0300000000048057
0.36,1.023016542281776,-0.006983457723029662,1.0300000000048057
0.37,1.022998665266871,-0.007001334737934739,1.0300000000048057
0.38,1.022923926413652,-0.007076073591153698,1.0300000000048057
0.39,1.0229569757322694,-0.007043024272536336,1.0300000000048057
0.4,1.023114578951067,-0.006885421053738794,1.0300000000048057
0.41,1.0233153259694387,-0.006684674035366989,1.0300000000048057
0.42,1.023484140382755,-0.0065158596220507015,1.0300000000048057
0.43,1.0235954292965408,-0.006404570708264945,1.0300000000048057
0.44,1.0236702021760853,-0.0063297978287204515,1.0300000000048057
0.45,1.0237450209821484,-0.00625497902265737,1.0300000000048057
0.46,1.023839793047731,-0.006160206957074754,1.0300000000048057
0.47,1.02395045622121,-0.006049543783595679,1.0300000000048057
0.48,1.0240615598065625,-0.005938440198243189,1.0300000000048057
0.49,1.0241610109890695,-0.005838989015736207,1.0300000000048057
0.5,1.0242466951212241,-0.005753304883581611,1.0300000000048057
0.51,1.024323800051229,-0.0056761999535768215,1.0300000000048057
0.52,1.0243981427026627,-0.005601857302143021,1.0300000000048057
0.53,1.0244717474088203,-0.005528252595985439,1.0300000000048057
0.54,1.0245428233436744,-0.005457176661131324,1.0300000000048057
0.55,1.024608347001213,-0.005391653003592678,1.0300000000048057
0.56,1.024666463583858,-0.005333536420947693,1.0300000000048057
0.57,1.0247171546492337,-0.005282845355571997,1.0300000000048057
0.58,1.0247614027971794,-0.0052385972076263165,1.0300000000048057
0.59,1.0248000268313144,-0.005199973173491301,1.0300000000048057
0.6,1.024833116026261,-0.005166883978544812,1.0300000000048057
0.61,1.024860207811512,-0.005139792193293635,1.0300000000048057
0.62,1.0248807909912654,-0.005119209013540349,1.0300000000048057
0.63,1.0248946623282364,-0.005105337676569288,1.0300000000048057
0.64,1.0249019521543226,-0.005098047850483178,1.0300000000048057
0.65,1.0249029340620863,-0.005097065942719414,1.0300000000048057
0.66,1.0248978346182236,-0.005102165386582147,1.0300000000048057
0.67,1.024886772299323,-0.005113227705482837,1.0300000000048057
0.68,1.0248698150060394,-0.005130184998766385,1.0300000000048057
0.69,1.0248470688972826,-0.005152931107523129,1.0300000000048057
0.7,1.0248187246757743,-0.005181275329031454,1.0300000000048057
0.71,1.0247850458526986,-0.005214954152107154,1.0300000000048057
0.72,1.024746329065232,-0.005253670939573629,1.0300000000048057
0.73,1.0247028734015786,-0.00529712660322712,1.0300000000048057
0.74,1.0246549746402929,-0.005345025364512868,1.0300000000048057
0.75,1.0246029368930971,-0.005397063111708622,1.0300000000048057
0.76,1.0245470852055591,-0.005452914799246589,1.0300000000048057
0.77,1.024487768534632,-0.005512231470173656,1.0300000000048057
0.78,1.0244253532590413,-0.005574646745764467,1.0300000000048057
0.79,1.0243602137381402,-0.005639786266665503,1.0300000000048057
0.8,1.024292725830605,-0.005707274174200805,1.0300000000048057
0.81,1.0242232649159901,-0.005776735088815599,1.0300000000048057
0.82,1.0241522063075557,-0.005847793697250081,1.0300000000048057
0.83,1.024079925205185,-0.005920074799620645,1.0300000000048057
0.84,1.0240067948508929,-0.005993205153912884,1.0300000000048057
0.85,1.0239331833838963,-0.006066816620909465,1.0300000000048057
0.86,1.0238594506596617,-0.006140549345144075,1.0300000000048057
0.87,1.023785945920463,-0.006214054084342724,1.0300000000048057
0.88,1.023713006361047,-0.0062869936437588425,1.0300000000048057
0.89,1.0236409561303095,-0.006359043874496262,1.0300000000048057
0.9,1.023570105292212,-0.006429894712593809,1.0300000000048057
0.91,1.0235007486225396,-0.006499251382266147,1.0300000000048057
0.92,1.0234331643754144,-0.00656683562939131,1.0300000000048057
0.93,1.0233676132557434,-0.006632386749062302,1.0300000000048057
0.94,1.0233043376932793,-0.006695662311526407,1.0300000000048057
0.95,1.0232435613972204,-0.006756438607585347,1.0300000000048057
0.96,1.0231854890775525,-0.00681451092725327,1.0300000000048057
0.97,1.023130306261313,-0.006869693743492666,1.0300000000048057
0.98,1.0230781791854402,-0.006921820819365543,1.0300000000048057
0.99,1.0230292547895288,-0.006970745215276963,1.0300000000048057
1.0,1.022983660837658,-0.007016339167147834,1.0300000000048057
1.01,1.02294150617012,-0.0070584938346858195,1.0300000000048057
1.02,1.0229028810651837,-0.00709711893962206,1.0300000000048057
1.03,1.022867857683553,-0.007132142321252699,1.0300000000048057
1.04,1.0228364905759437,-0.007163509428862014,1.0300000000048057
1.05,1.0228088172467524,-0.007191182758053305,1.0300000000048057
1.06,1.0227848587720438,-0.007215141232761901,1.0300000000048057
1.07,1.022764620469704,-0.007235379535101671,1.0300000000048057
1.08,1.0227480926150228,-0.0072519073897829855,1.0300000000048057
1.09,1.022735251192222,-0.007264748812583655,1.0300000000048057
1.1,1.0227260586734246,-0.007273941331381151,1.0300000000048057
1.11,1.022720464816671,-0.007279535188134734,1.0300000000048057
1.12,1.0227184074806526,-0.007281592524153169,1.0300000000048057
1.13,1.0227198134497482,-0.007280186555057577,1.0300000000048057
1.14,1.0227245992689504,-0.0072754007358553086,1.0300000000048057
1.15,1.022732672080809,-0.007267327923996758,1.0300000000048057
1.16,1.0227439304635042,-0.007256069541301535,1.0300000000048057
1.17,1.0227582652629137,-0.0072417347418920475,1.0300000000048057
1.18,1.0227755604169697,-0.007224439587836029,1.0300000000048057
1.19,1.0227956937680671,-0.007204306236738622,1.0300000000048057
1.2,1.0228185378610395,-0.0071814621437662485,1.0300000000048057
1.21,1.022843960723196,-0.007156039281609683,1.0300000000048057
1.22,1.0228718266239483,-0.007128173380857472,1.0300000000048057
1.23,1.0229019968099642,-0.007098003194841551,1.0300000000048057
1.24,1.0229343302144742,-0.007065669790331519,1.0300000000048057
